
2024/08/15 (01:45:22) | ===> btop++ v.1.3.2
2024/08/15 (01:45:22) | INFO: Logger set to DEBUG
2024/08/15 (01:45:22) | DEBUG: Using locale en_US.UTF-8
2024/08/15 (01:45:22) | INFO: Running on /dev/pts/3
2024/08/15 (01:45:22) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/08/15 (01:45:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/15 (01:45:22) | DEBUG: Shared::init() : Initialized.
2024/08/15 (01:45:22) | DEBUG: Loading theme file: /home/roxor/.config/btop/themes/catppuccin_mocha.theme
2024/08/15 (01:45:36) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/08/15 (01:45:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/08/15 (01:45:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/08/15 (01:45:38) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2024/08/15 (01:45:38) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/08/15 (01:45:39) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/08/15 (01:45:39) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/08/15 (01:45:39) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/08/15 (01:45:40) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/08/15 (01:45:40) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/08/15 (01:45:41) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/08/15 (01:45:42) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2024/08/15 (01:45:42) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2024/08/15 (01:45:42) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2024/08/15 (01:45:43) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2024/08/15 (01:45:43) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/08/15 (01:45:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/08/15 (01:45:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/08/15 (01:45:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/08/15 (01:45:45) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2024/08/15 (01:45:45) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/08/15 (01:45:46) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2024/08/15 (01:45:46) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/08/15 (01:45:47) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2024/08/15 (01:45:47) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2024/08/15 (01:45:47) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2024/08/15 (01:45:48) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/08/15 (01:45:48) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/08/15 (01:45:49) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2024/08/15 (01:45:49) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/08/15 (01:45:50) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/08/15 (01:45:50) | DEBUG: Loading theme file: /home/roxor/.config/btop/themes/catppuccin_mocha.theme
2024/08/15 (01:45:51) | DEBUG: Loading theme file: /home/roxor/.config/btop/themes/catppuccin_macchiato.theme
2024/08/15 (01:45:52) | DEBUG: Loading theme file: /home/roxor/.config/btop/themes/catppuccin_mocha.theme
2024/08/15 (01:45:53) | DEBUG: Loading theme file: /home/roxor/.config/btop/themes/catppuccin_macchiato.theme
